trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20220104,002594.SZ,276.0,279.45,265.22,271.0,268.12,2.88,1.0741,244660.89,6673692.547
20220105,002594.SZ,264.55,266.48,251.72,253.26,271.0,-17.74,-6.5461,301708.91,7725244.308
20220106,002594.SZ,250.0,254.53,247.89,250.02,253.26,-3.24,-1.2793,175907.84,4396413.606
20220107,002594.SZ,251.8,252.96,245.0,246.5,250.02,-3.52,-1.4079,161933.55,4009535.493
20220110,002594.SZ,245.0,249.47,239.03,246.3,246.5,-0.2,-0.0811,162141.82,3964485.468
20220111,002594.SZ,246.28,246.28,237.8,239.09,246.3,-7.21,-2.9273,212441.47,5100240.704
20220112,002594.SZ,246.0,256.0,244.31,256.0,239.09,16.91,7.0727,323602.24,8103336.076
20220113,002594.SZ,257.74,258.56,248.61,255.31,256.0,-0.69,-0.2695,217103.9,5516666.113
20220114,002594.SZ,250.8,257.3,250.0,253.14,255.31,-2.17,-0.8499,149548.15,3798549.606
20220117,002594.SZ,253.02,267.49,253.02,266.49,253.14,13.35,5.2738,241144.66,6349270.849
20220118,002594.SZ,266.41,268.96,262.3,266.08,266.49,-0.41,-0.1539,125054.43,3325099.879
20220119,002594.SZ,265.95,267.88,250.31,252.97,266.08,-13.11,-4.9271,231881.8,5960665.206
20220120,002594.SZ,252.1,253.71,247.0,251.07,252.97,-1.9,-0.7511,149986.47,3759819.343
20220121,002594.SZ,251.08,255.74,246.33,250.4,251.07,-0.67,-0.2669,112394.32,2822719.636
20220124,002594.SZ,246.08,252.88,244.27,251.4,250.4,1.0,0.3994,108376.86,2706367.141
20220125,002594.SZ,248.0,251.0,240.0,240.31,251.4,-11.09,-4.4113,172772.23,4222848.972
20220126,002594.SZ,245.0,251.38,242.31,249.49,240.31,9.18,3.8201,174445.84,4321964.224
20220127,002594.SZ,247.0,249.3,241.0,241.27,249.49,-8.22,-3.2947,132649.63,3242987.819
20220128,002594.SZ,239.98,242.0,219.76,226.8,241.27,-14.47,-5.9974,324373.11,7392709.579
20220207,002594.SZ,240.79,249.28,238.01,244.4,226.8,17.6,7.7601,251124.53,6117950.238
20220208,002594.SZ,243.0,243.0,230.64,236.97,244.4,-7.43,-3.0401,199039.53,4669048.973
20220209,002594.SZ,239.05,246.4,235.03,245.18,236.97,8.21,3.4646,199928.64,4854528.826
20220210,002594.SZ,246.77,248.0,238.1,240.12,245.18,-5.06,-2.0638,146284.6,3521519.984
20220211,002594.SZ,236.05,240.12,228.5,230.19,240.12,-9.93,-4.1354,199439.26,4646313.004
20220214,002594.SZ,230.2,235.0,225.0,231.98,230.19,1.79,0.7776,133199.49,3079221.402
